Timestamp,Pair,Operation,Duration(s)
2025-03-26 23:46:01,1INCH-USDT,db_get_columns,0.008927
2025-03-26 23:46:01,1INCH-USDT,fetch_data,0.004244
2025-03-26 23:46:01,1INCH-USDT,price_action_features,0.000156
2025-03-26 23:46:01,1INCH-USDT,momentum_features,0.000104
2025-03-26 23:46:01,AAVE-USDT,db_get_columns,0.010623
2025-03-26 23:46:01,1INCH-USDT,volatility_features,0.018455
2025-03-26 23:46:01,AAVE-USDT,fetch_data,0.005513
2025-03-26 23:46:01,1INCH-USDT,volume_features,0.009407
2025-03-26 23:46:01,AAVE-USDT,price_action_features,0.000132
2025-03-26 23:46:02,1INCH-USDT,statistical_features,0.050775
2025-03-26 23:46:02,ACA-USDT,db_get_columns,0.019791
2025-03-26 23:46:02,AAVE-USDT,momentum_features,0.019675
2025-03-26 23:46:02,1INCH-USDT,pattern_features,0.004728
2025-03-26 23:46:02,ACA-USDT,fetch_data,0.010001
2025-03-26 23:46:02,ACA-USDT,price_action_features,0.000120
2025-03-26 23:46:02,ACA-USDT,momentum_features,0.000574
2025-03-26 23:46:02,1INCH-USDT,time_features,0.073718
2025-03-26 23:46:02,ACH-USDT,db_get_columns,0.010433
2025-03-26 23:46:02,AAVE-USDT,volatility_features,0.090313
2025-03-26 23:46:02,ACE-USDT,db_get_columns,0.011410
2025-03-26 23:46:02,1INCH-USDT,label_features,0.000584
2025-03-26 23:46:02,ACH-USDT,fetch_data,0.008108
2025-03-26 23:46:02,1INCH-USDT,compute_features_total,0.272791
2025-03-26 23:46:02,ACE-USDT,fetch_data,0.007452
2025-03-26 23:46:02,ACH-USDT,price_action_features,0.000125
2025-03-26 23:46:02,ACA-USDT,volatility_features,0.099226
2025-03-26 23:46:02,AAVE-USDT,volume_features,0.082133
2025-03-26 23:46:02,ACT-USDT,db_get_columns,0.066833
2025-03-26 23:46:02,ACE-USDT,price_action_features,0.000140
2025-03-26 23:46:02,AAVE-USDT,statistical_features,0.059197
2025-03-26 23:46:02,ADA-USDT,db_get_columns,0.021457
2025-03-26 23:46:02,ACT-USDT,fetch_data,0.012198
2025-03-26 23:46:02,1INCH-USDT,database_update,0.112341
2025-03-26 23:46:02,ACH-USDT,momentum_features,0.000386
2025-03-26 23:46:02,ACA-USDT,volume_features,0.064022
2025-03-26 23:46:02,ACE-USDT,momentum_features,0.001088
2025-03-26 23:46:02,AAVE-USDT,pattern_features,0.004722
2025-03-26 23:46:02,ADA-USDT,fetch_data,0.053999
2025-03-26 23:46:02,ACT-USDT,price_action_features,0.000108
2025-03-26 23:46:02,AERGO-USDT,db_get_columns,0.054103
2025-03-26 23:46:03,ACA-USDT,statistical_features,0.052313
2025-03-26 23:46:03,ACH-USDT,volatility_features,0.135999
2025-03-26 23:46:03,ADA-USDT,price_action_features,0.000124
2025-03-26 23:46:03,AAVE-USDT,time_features,0.069783
2025-03-26 23:46:03,ACT-USDT,momentum_features,0.003443
2025-03-26 23:46:03,AERGO-USDT,fetch_data,0.813273
2025-03-26 23:46:03,ACE-USDT,volatility_features,0.920102
2025-03-26 23:46:03,ACA-USDT,pattern_features,0.004873
2025-03-26 23:46:03,ACH-USDT,volume_features,0.006906
2025-03-26 23:46:03,ADA-USDT,momentum_features,0.000267
2025-03-26 23:46:03,AAVE-USDT,label_features,0.000234
2025-03-26 23:46:03,AERGO-USDT,price_action_features,0.000112
2025-03-26 23:46:03,ACT-USDT,volatility_features,0.075921
2025-03-26 23:46:03,ACA-USDT,time_features,0.012516
2025-03-26 23:46:03,ACE-USDT,volume_features,0.048710
2025-03-26 23:46:03,AAVE-USDT,compute_features_total,1.537079
2025-03-26 23:46:03,ACH-USDT,statistical_features,0.051893
2025-03-26 23:46:03,AERGO-USDT,momentum_features,0.001995
2025-03-26 23:46:03,ADA-USDT,volatility_features,0.052003
2025-03-26 23:46:03,ACA-USDT,label_features,0.000348
2025-03-26 23:46:03,ACT-USDT,volume_features,0.007459
2025-03-26 23:46:03,ACE-USDT,statistical_features,0.052437
2025-03-26 23:46:03,ACH-USDT,pattern_features,0.004827
2025-03-26 23:46:03,AAVE-USDT,database_update,0.048690
2025-03-26 23:46:03,ACA-USDT,compute_features_total,1.506583
2025-03-26 23:46:03,AEVO-USDT,db_get_columns,0.003891
2025-03-26 23:46:03,ADA-USDT,volume_features,0.026117
2025-03-26 23:46:03,AERGO-USDT,volatility_features,0.032411
2025-03-26 23:46:03,ACE-USDT,pattern_features,0.015066
2025-03-26 23:46:03,ACT-USDT,statistical_features,0.058726
2025-03-26 23:46:03,ACH-USDT,time_features,0.009382
2025-03-26 23:46:03,AEVO-USDT,fetch_data,0.017338
2025-03-26 23:46:03,ADA-USDT,statistical_features,0.055480
2025-03-26 23:46:03,AERGO-USDT,volume_features,0.034291
2025-03-26 23:46:03,ACE-USDT,time_features,0.006265
2025-03-26 23:46:03,ACT-USDT,pattern_features,0.071880
2025-03-26 23:46:03,ACA-USDT,database_update,0.137673
2025-03-26 23:46:03,ACH-USDT,label_features,0.069360
2025-03-26 23:46:03,AEVO-USDT,price_action_features,0.000151
2025-03-26 23:46:03,ADA-USDT,pattern_features,0.004804
2025-03-26 23:46:03,ACE-USDT,label_features,0.011642
2025-03-26 23:46:03,AERGO-USDT,statistical_features,0.048688
2025-03-26 23:46:03,ACT-USDT,time_features,0.002110
2025-03-26 23:46:03,ACH-USDT,compute_features_total,1.718332
2025-03-26 23:46:03,AEVO-USDT,momentum_features,0.000223
2025-03-26 23:46:03,ACE-USDT,compute_features_total,1.648017
2025-03-26 23:46:03,ADA-USDT,time_features,0.001978
2025-03-26 23:46:03,AERGO-USDT,pattern_features,0.005147
2025-03-26 23:46:04,ACT-USDT,label_features,0.058264
2025-03-26 23:46:04,ADA-USDT,label_features,0.004216
2025-03-26 23:46:04,AGLD-USDT,db_get_columns,0.017186
2025-03-26 23:46:04,AEVO-USDT,volatility_features,0.032892
2025-03-26 23:46:04,AERGO-USDT,time_features,0.003092
2025-03-26 23:46:04,ACT-USDT,compute_features_total,1.620936
2025-03-26 23:46:04,ADA-USDT,compute_features_total,1.484352
2025-03-26 23:46:04,AGLD-USDT,fetch_data,0.005419
2025-03-26 23:46:04,AERGO-USDT,label_features,0.000351
2025-03-26 23:46:04,AEVO-USDT,volume_features,0.009706
2025-03-26 23:46:04,ACE-USDT,database_update,0.036111
2025-03-26 23:46:04,ACH-USDT,database_update,0.111649
2025-03-26 23:46:04,AGLD-USDT,price_action_features,0.000109
2025-03-26 23:46:04,AERGO-USDT,compute_features_total,0.676946
2025-03-26 23:46:04,AIDOGE-USDT,db_get_columns,0.026033
2025-03-26 23:46:04,AEVO-USDT,statistical_features,0.052009
2025-03-26 23:46:04,ACT-USDT,database_update,0.128572
2025-03-26 23:46:04,AGLD-USDT,momentum_features,0.000237
2025-03-26 23:46:04,AEVO-USDT,pattern_features,0.011868
2025-03-26 23:46:04,AIDOGE-USDT,fetch_data,0.015264
2025-03-26 23:46:04,ADA-USDT,database_update,0.136712
2025-03-26 23:46:04,AEVO-USDT,time_features,0.003756
2025-03-26 23:46:04,AGLD-USDT,volatility_features,0.020410
2025-03-26 23:46:04,AIDOGE-USDT,price_action_features,0.000119
2025-03-26 23:46:04,AERGO-USDT,database_update,0.228718
2025-03-26 23:46:04,AEVO-USDT,label_features,0.000215
2025-03-26 23:46:04,AIDOGE-USDT,momentum_features,0.000321
2025-03-26 23:46:04,AGLD-USDT,volume_features,0.007568
2025-03-26 23:46:04,AEVO-USDT,compute_features_total,0.640881
2025-03-26 23:46:04,AIDOGE-USDT,volatility_features,0.121544
2025-03-26 23:46:04,AGLD-USDT,statistical_features,0.125618
2025-03-26 23:46:04,AIXBT-USDT,db_get_columns,0.003717
2025-03-26 23:46:04,AGLD-USDT,pattern_features,0.005054
2025-03-26 23:46:04,AIDOGE-USDT,volume_features,0.012569
2025-03-26 23:46:04,AEVO-USDT,database_update,0.027931
2025-03-26 23:46:04,AIXBT-USDT,fetch_data,0.005338
2025-03-26 23:46:04,AGLD-USDT,time_features,0.027346
2025-03-26 23:46:04,AIDOGE-USDT,statistical_features,0.048049
2025-03-26 23:46:04,AIXBT-USDT,price_action_features,0.000128
2025-03-26 23:46:04,AGLD-USDT,label_features,0.000210
2025-03-26 23:46:04,AIDOGE-USDT,pattern_features,0.005070
2025-03-26 23:46:04,AIXBT-USDT,momentum_features,0.000217
2025-03-26 23:46:04,AGLD-USDT,compute_features_total,0.730453
2025-03-26 23:46:04,AIDOGE-USDT,time_features,0.002377
2025-03-26 23:46:04,AIXBT-USDT,volatility_features,0.023200
2025-03-26 23:46:04,AIDOGE-USDT,label_features,0.000506
2025-03-26 23:46:04,AIDOGE-USDT,compute_features_total,0.471118
2025-03-26 23:46:04,AIXBT-USDT,volume_features,0.007587
2025-03-26 23:46:04,AGLD-USDT,database_update,0.039159
2025-03-26 23:46:04,AIXBT-USDT,statistical_features,0.047975
2025-03-26 23:46:04,AIXBT-USDT,pattern_features,0.005648
2025-03-26 23:46:04,AIXBT-USDT,time_features,0.001589
2025-03-26 23:46:04,AIXBT-USDT,label_features,0.000099
2025-03-26 23:46:04,AIXBT-USDT,compute_features_total,0.222220
2025-03-26 23:46:04,AIDOGE-USDT,database_update,0.139758
2025-03-26 23:46:05,AIXBT-USDT,database_update,0.070554
2025-03-26 23:46:05,ALCX-USDT,db_get_columns,0.008453
2025-03-26 23:46:05,ALCX-USDT,fetch_data,0.005219
2025-03-26 23:46:05,ALCX-USDT,price_action_features,0.000112
2025-03-26 23:46:05,ALCX-USDT,momentum_features,0.000105
2025-03-26 23:46:05,ALCX-USDT,volatility_features,0.018364
2025-03-26 23:46:05,ALGO-USDT,db_get_columns,0.010587
2025-03-26 23:46:05,ALCX-USDT,volume_features,0.007151
2025-03-26 23:46:05,ALGO-USDT,fetch_data,0.013816
2025-03-26 23:46:05,ALGO-USDT,price_action_features,0.000121
2025-03-26 23:46:05,ALCX-USDT,statistical_features,0.107901
2025-03-26 23:46:05,ALGO-USDT,momentum_features,0.000223
2025-03-26 23:46:05,ALCX-USDT,pattern_features,0.007651
2025-03-26 23:46:05,ALPHA-USDT,db_get_columns,0.014750
2025-03-26 23:46:05,ALGO-USDT,volatility_features,0.020908
2025-03-26 23:46:05,ALCX-USDT,time_features,0.009890
2025-03-26 23:46:05,ALPHA-USDT,fetch_data,0.005149
2025-03-26 23:46:05,ALCX-USDT,label_features,0.000444
2025-03-26 23:46:05,ALPHA-USDT,price_action_features,0.000137
2025-03-26 23:46:05,ALCX-USDT,compute_features_total,0.243624
2025-03-26 23:46:05,ALGO-USDT,volume_features,0.085333
2025-03-26 23:46:05,ALPHA-USDT,momentum_features,0.000510
2025-03-26 23:46:05,ANIME-USDT,db_get_columns,0.023791
2025-03-26 23:46:05,ALGO-USDT,statistical_features,0.057735
2025-03-26 23:46:05,ANIME-USDT,fetch_data,0.014462
2025-03-26 23:46:05,ALGO-USDT,pattern_features,0.005085
2025-03-26 23:46:05,ALCX-USDT,database_update,0.145620
2025-03-26 23:46:05,ANIME-USDT,price_action_features,0.000118
2025-03-26 23:46:05,APE-USDT,db_get_columns,0.071002
2025-03-26 23:46:05,ALPHA-USDT,volatility_features,0.109674
2025-03-26 23:46:05,ALGO-USDT,time_features,0.002586
2025-03-26 23:46:05,ANIME-USDT,momentum_features,0.000539
2025-03-26 23:46:05,APE-USDT,fetch_data,0.006907
2025-03-26 23:46:05,API3-USDT,db_get_columns,0.008588
2025-03-26 23:46:05,ALGO-USDT,label_features,0.000755
2025-03-26 23:46:05,ALPHA-USDT,volume_features,0.011777
2025-03-26 23:46:05,APE-USDT,price_action_features,0.000154
2025-03-26 23:46:05,API3-USDT,fetch_data,0.006531
2025-03-26 23:46:05,ALGO-USDT,compute_features_total,0.444203
2025-03-26 23:46:05,APT-USDT,db_get_columns,0.015225
2025-03-26 23:46:06,ANIME-USDT,volatility_features,0.156116
2025-03-26 23:46:06,AR-USDT,db_get_columns,0.013613
2025-03-26 23:46:06,ALPHA-USDT,statistical_features,0.050408
2025-03-26 23:46:06,APE-USDT,momentum_features,0.000288
2025-03-26 23:46:06,API3-USDT,price_action_features,0.000135
2025-03-26 23:46:06,APT-USDT,fetch_data,0.011053
2025-03-26 23:46:06,ANIME-USDT,volume_features,0.015592
2025-03-26 23:46:06,AR-USDT,fetch_data,0.008305
2025-03-26 23:46:06,ALPHA-USDT,pattern_features,0.011098
2025-03-26 23:46:06,ALGO-USDT,database_update,0.033382
2025-03-26 23:46:06,API3-USDT,momentum_features,0.000587
2025-03-26 23:46:06,APE-USDT,volatility_features,0.023886
2025-03-26 23:46:06,APT-USDT,price_action_features,0.000108
2025-03-26 23:46:06,AR-USDT,price_action_features,0.000125
2025-03-26 23:46:06,ARB-USDT,db_get_columns,0.086928
2025-03-26 23:46:06,ANIME-USDT,statistical_features,0.109374
2025-03-26 23:46:06,ALPHA-USDT,time_features,0.001863
2025-03-26 23:46:06,APT-USDT,momentum_features,0.008396
2025-03-26 23:46:06,API3-USDT,volatility_features,0.022671
2025-03-26 23:46:06,APE-USDT,volume_features,0.016283
2025-03-26 23:46:06,AR-USDT,momentum_features,0.003932
2025-03-26 23:46:06,ANIME-USDT,pattern_features,0.004875
2025-03-26 23:46:06,ARB-USDT,fetch_data,0.007005
2025-03-26 23:46:06,ALPHA-USDT,label_features,0.060100
2025-03-26 23:46:06,APE-USDT,statistical_features,0.060405
2025-03-26 23:46:06,API3-USDT,volume_features,0.067659
2025-03-26 23:46:06,ARB-USDT,price_action_features,0.000118
2025-03-26 23:46:06,APT-USDT,volatility_features,0.146206
2025-03-26 23:46:06,ALPHA-USDT,compute_features_total,0.891031
2025-03-26 23:46:06,ANIME-USDT,time_features,0.077671
2025-03-26 23:46:06,AR-USDT,volatility_features,0.132350
2025-03-26 23:46:06,APE-USDT,pattern_features,0.020371
2025-03-26 23:46:06,ARB-USDT,momentum_features,0.000319
2025-03-26 23:46:06,API3-USDT,statistical_features,0.052276
2025-03-26 23:46:06,APT-USDT,volume_features,0.011909
2025-03-26 23:46:06,ANIME-USDT,label_features,0.000337
2025-03-26 23:46:06,AR-USDT,volume_features,0.008239
2025-03-26 23:46:06,APE-USDT,time_features,0.013735
2025-03-26 23:46:06,API3-USDT,pattern_features,0.008377
2025-03-26 23:46:06,ALPHA-USDT,database_update,0.035234
2025-03-26 23:46:06,ARB-USDT,volatility_features,0.049743
2025-03-26 23:46:06,ANIME-USDT,compute_features_total,0.872825
2025-03-26 23:46:06,APT-USDT,statistical_features,0.067243
2025-03-26 23:46:06,ARG-USDT,db_get_columns,0.020422
2025-03-26 23:46:06,AR-USDT,statistical_features,0.054934
2025-03-26 23:46:06,APE-USDT,label_features,0.007103
2025-03-26 23:46:06,API3-USDT,time_features,0.001732
2025-03-26 23:46:06,ARB-USDT,volume_features,0.007825
2025-03-26 23:46:06,APT-USDT,pattern_features,0.004828
2025-03-26 23:46:06,AR-USDT,pattern_features,0.004897
2025-03-26 23:46:06,ARG-USDT,fetch_data,0.007216
2025-03-26 23:46:06,APE-USDT,compute_features_total,0.814890
2025-03-26 23:46:06,API3-USDT,label_features,0.058457
2025-03-26 23:46:06,ANIME-USDT,database_update,0.085417
2025-03-26 23:46:06,ARB-USDT,statistical_features,0.049705
2025-03-26 23:46:06,APT-USDT,time_features,0.021302
2025-03-26 23:46:06,ARG-USDT,price_action_features,0.000114
2025-03-26 23:46:06,AR-USDT,time_features,0.064261
2025-03-26 23:46:06,API3-USDT,compute_features_total,0.842914
2025-03-26 23:46:06,ARB-USDT,pattern_features,0.004968
2025-03-26 23:46:06,APT-USDT,label_features,0.000459
2025-03-26 23:46:06,ARG-USDT,momentum_features,0.000261
2025-03-26 23:46:06,AR-USDT,label_features,0.000448
2025-03-26 23:46:06,ARB-USDT,time_features,0.060571
2025-03-26 23:46:06,APT-USDT,compute_features_total,0.821767
2025-03-26 23:46:06,AR-USDT,compute_features_total,0.738985
2025-03-26 23:46:06,APE-USDT,database_update,0.082679
2025-03-26 23:46:06,ARG-USDT,volatility_features,0.019739
2025-03-26 23:46:06,API3-USDT,database_update,0.080951
2025-03-26 23:46:06,ARB-USDT,label_features,0.000151
2025-03-26 23:46:07,ARKM-USDT,db_get_columns,0.009502
2025-03-26 23:46:07,ARG-USDT,volume_features,0.017989
2025-03-26 23:46:07,ARB-USDT,compute_features_total,0.514888
2025-03-26 23:46:07,ARKM-USDT,fetch_data,0.056532
2025-03-26 23:46:07,AR-USDT,database_update,0.157415
2025-03-26 23:46:07,ARTY-USDT,db_get_columns,0.028793
2025-03-26 23:46:07,APT-USDT,database_update,0.169913
2025-03-26 23:46:07,ARG-USDT,statistical_features,0.048990
2025-03-26 23:46:07,ARKM-USDT,price_action_features,0.000118
2025-03-26 23:46:07,ARG-USDT,pattern_features,0.005026
2025-03-26 23:46:07,ARTY-USDT,fetch_data,0.007237
2025-03-26 23:46:07,ARKM-USDT,momentum_features,0.111193
2025-03-26 23:46:07,ARTY-USDT,price_action_features,0.000107
2025-03-26 23:46:07,ARB-USDT,database_update,0.235018
2025-03-26 23:46:07,ARG-USDT,time_features,0.052392
2025-03-26 23:46:07,ARTY-USDT,momentum_features,0.003854
2025-03-26 23:46:07,ARKM-USDT,volatility_features,0.018808
2025-03-26 23:46:07,ARG-USDT,label_features,0.000228
2025-03-26 23:46:07,ARTY-USDT,volatility_features,0.080989
2025-03-26 23:46:07,ARG-USDT,compute_features_total,0.620613
2025-03-26 23:46:07,ARKM-USDT,volume_features,0.014941
2025-03-26 23:46:07,ARTY-USDT,volume_features,0.007480
2025-03-26 23:46:07,ARKM-USDT,statistical_features,0.058825
2025-03-26 23:46:07,ARG-USDT,database_update,0.087960
2025-03-26 23:46:07,ARKM-USDT,pattern_features,0.020443
2025-03-26 23:46:07,ARTY-USDT,statistical_features,0.060214
2025-03-26 23:46:07,ARKM-USDT,time_features,0.060277
2025-03-26 23:46:07,ARTY-USDT,pattern_features,0.063479
2025-03-26 23:46:07,ARKM-USDT,label_features,0.000324
2025-03-26 23:46:07,ARKM-USDT,compute_features_total,0.458307
2025-03-26 23:46:07,ARTY-USDT,time_features,0.001865
2025-03-26 23:46:07,ARTY-USDT,label_features,0.000083
2025-03-26 23:46:07,ARTY-USDT,compute_features_total,0.287283
2025-03-26 23:46:07,ARTY-USDT,database_update,0.020746
2025-03-26 23:46:07,ARKM-USDT,database_update,0.021139
2025-03-26 23:46:07,ASTR-USDT,db_get_columns,0.008108
2025-03-26 23:46:07,ASTR-USDT,fetch_data,0.004938
2025-03-26 23:46:07,ASTR-USDT,price_action_features,0.000123
2025-03-26 23:46:07,ASTR-USDT,momentum_features,0.000114
2025-03-26 23:46:08,ASTR-USDT,volatility_features,0.017478
2025-03-26 23:46:08,ASTR-USDT,volume_features,0.006825
2025-03-26 23:46:08,ASTR-USDT,statistical_features,0.046715
2025-03-26 23:46:08,ASTR-USDT,pattern_features,0.004658
2025-03-26 23:46:08,ASTR-USDT,time_features,0.001488
2025-03-26 23:46:08,ASTR-USDT,label_features,0.000096
2025-03-26 23:46:08,ASTR-USDT,compute_features_total,0.078339
2025-03-26 23:46:08,ASTR-USDT,database_update,0.017013
2025-03-26 23:46:08,BAL-USDT,db_get_columns,0.003287
2025-03-26 23:46:08,BAL-USDT,fetch_data,0.003507
2025-03-26 23:46:08,BAL-USDT,price_action_features,0.000134
2025-03-26 23:46:08,BAL-USDT,momentum_features,0.000099
2025-03-26 23:46:08,BAL-USDT,volatility_features,0.017228
2025-03-26 23:46:08,BAL-USDT,volume_features,0.007101
2025-03-26 23:46:08,BAL-USDT,statistical_features,0.045973
2025-03-26 23:46:08,BAL-USDT,pattern_features,0.004667
2025-03-26 23:46:08,BAL-USDT,time_features,0.001478
2025-03-26 23:46:08,BAL-USDT,label_features,0.000090
2025-03-26 23:46:08,BAL-USDT,compute_features_total,0.077553
2025-03-26 23:46:08,BAL-USDT,database_update,0.015404
2025-03-26 23:46:08,BANANA-USDT,db_get_columns,0.003133
2025-03-26 23:46:08,BANANA-USDT,fetch_data,0.003388
2025-03-26 23:46:08,BANANA-USDT,price_action_features,0.000116
2025-03-26 23:46:08,BANANA-USDT,momentum_features,0.000267
2025-03-26 23:46:08,BANANA-USDT,volatility_features,0.019138
2025-03-26 23:46:08,BANANA-USDT,volume_features,0.006855
2025-03-26 23:46:08,BANANA-USDT,statistical_features,0.046865
2025-03-26 23:46:08,BANANA-USDT,pattern_features,0.004718
2025-03-26 23:46:08,BANANA-USDT,time_features,0.001485
2025-03-26 23:46:08,BANANA-USDT,label_features,0.000096
2025-03-26 23:46:08,BANANA-USDT,compute_features_total,0.080764
2025-03-26 23:46:08,BANANA-USDT,database_update,0.014509
2025-03-26 23:46:08,BAND-USDT,db_get_columns,0.003270
2025-03-26 23:46:08,BAND-USDT,fetch_data,0.003506
2025-03-26 23:46:08,BAND-USDT,price_action_features,0.000139
2025-03-26 23:46:08,BAND-USDT,momentum_features,0.000120
2025-03-26 23:46:08,BAND-USDT,volatility_features,0.017240
2025-03-26 23:46:08,BAND-USDT,volume_features,0.006781
2025-03-26 23:46:08,BAND-USDT,statistical_features,0.045752
2025-03-26 23:46:08,BAND-USDT,pattern_features,0.004689
2025-03-26 23:46:08,BAND-USDT,time_features,0.001464
2025-03-26 23:46:08,BAND-USDT,label_features,0.000086
2025-03-26 23:46:08,BAND-USDT,compute_features_total,0.077002
2025-03-26 23:46:08,BAND-USDT,database_update,0.015177
2025-03-26 23:46:08,BAT-USDT,db_get_columns,0.003426
2025-03-26 23:46:08,BAT-USDT,fetch_data,0.003986
2025-03-26 23:46:08,BAT-USDT,price_action_features,0.000150
2025-03-26 23:46:08,BAT-USDT,momentum_features,0.000105
2025-03-26 23:46:08,BAT-USDT,volatility_features,0.017061
2025-03-26 23:46:08,BAT-USDT,volume_features,0.006732
2025-03-26 23:46:08,BAT-USDT,statistical_features,0.046188
2025-03-26 23:46:08,BAT-USDT,pattern_features,0.004780
2025-03-26 23:46:08,BAT-USDT,time_features,0.001816
2025-03-26 23:46:08,BAT-USDT,label_features,0.000086
2025-03-26 23:46:08,BAT-USDT,compute_features_total,0.078105
2025-03-26 23:46:08,BAT-USDT,database_update,0.016239
