PERFORMANCE SUMMARY REPORT
=========================

Pairs Processed: 305
Total Processing Time: 884.96 seconds
Average Time Per Pair: 2.90 seconds

OPERATION BREAKDOWN (Sorted by Total Time)
----------------------------------------
Operation                      Total Time (s)  Avg Time (s)    Calls      % of Total
--------------------------------------------------------------------------------
compute_features_total         254.16          0.838814        303        28.72     
database_update                55.73           0.183919        303        6.30      
statistical_features           26.07           0.086045        303        2.95      
volatility_features            24.46           0.080711        303        2.76      
volume_features                12.04           0.039740        303        1.36      
cross_pair_features            7.66            7.655093        1          0.87      
fetch_data                     6.41            0.021166        303        0.72      
db_get_columns                 6.39            0.021097        303        0.72      
time_features                  5.60            0.018475        303        0.63      
pattern_features               3.46            0.011426        303        0.39      
label_features                 2.20            0.007262        303        0.25      
momentum_features              0.85            0.002793        303        0.10      
price_action_features          0.04            0.000132        303        0.00      
