Timestamp,Pair,Operation,Duration(s)
2025-03-26 21:05:38,ARTY-USDT,db_get_columns,0.007881
2025-03-26 21:05:38,ARTY-USDT,db_get_columns,0.008017
2025-03-26 21:05:38,ARTY-USDT,fetch_data,0.004168
2025-03-26 21:05:38,ARTY-USDT,fetch_data,0.005396
2025-03-26 21:05:38,ACE-USDT,db_get_columns,0.008495
2025-03-26 21:05:38,ACE-USDT,fetch_data,0.005670
2025-03-26 21:05:39,ACE-USDT,db_get_columns,0.010876
2025-03-26 21:05:39,ACH-USDT,fetch_data,0.007804
2025-03-26 21:05:39,ACH-USDT,db_get_columns,0.064539
2025-03-26 21:05:39,ACT-USDT,fetch_data,0.011238
2025-03-26 21:05:39,ACT-USDT,db_get_columns,0.018574
2025-03-26 21:05:39,ADA-USDT,fetch_data,0.004843
2025-03-26 21:05:39,ADA-USDT,db_get_columns,0.058364
2025-03-26 21:05:39,ADA-USDT,fetch_data,0.005712
2025-03-26 21:05:39,AERGO-USDT,db_get_columns,0.009143
2025-03-26 21:05:39,AERGO-USDT,fetch_data,0.005683
2025-03-26 21:05:39,AEVO-USDT,db_get_columns,0.015342
2025-03-26 21:05:39,AEVO-USDT,fetch_data,0.006526
2025-03-26 21:05:39,AGLD-USDT,db_get_columns,0.009124
2025-03-26 21:05:39,AGLD-USDT,fetch_data,0.013546
2025-03-26 21:05:39,AIDOGE-USDT,db_get_columns,0.010139
2025-03-26 21:05:39,AIDOGE-USDT,fetch_data,0.006505
2025-03-26 21:05:39,AIXBT-USDT,db_get_columns,0.010156
2025-03-26 21:05:39,AIXBT-USDT,fetch_data,0.004593
2025-03-26 21:05:39,ALCX-USDT,db_get_columns,0.012397
2025-03-26 21:05:39,ALCX-USDT,fetch_data,0.006108
2025-03-26 21:05:39,ALGO-USDT,db_get_columns,0.008532
2025-03-26 21:05:39,ALGO-USDT,fetch_data,0.004507
2025-03-26 21:05:39,ALPHA-USDT,db_get_columns,0.008528
2025-03-26 21:05:39,ALPHA-USDT,fetch_data,0.005873
2025-03-26 21:05:40,ANIME-USDT,db_get_columns,0.011352
2025-03-26 21:05:40,ANIME-USDT,fetch_data,0.004370
2025-03-26 21:05:40,APE-USDT,db_get_columns,0.008579
2025-03-26 21:05:40,APE-USDT,fetch_data,0.004342
2025-03-26 21:05:40,API3-USDT,db_get_columns,0.010141
2025-03-26 21:05:40,API3-USDT,fetch_data,0.005571
2025-03-26 21:05:40,APT-USDT,db_get_columns,0.013784
2025-03-26 21:05:40,APT-USDT,fetch_data,0.005323
2025-03-26 21:05:40,AR-USDT,db_get_columns,0.008533
2025-03-26 21:05:40,AR-USDT,fetch_data,0.004152
2025-03-26 21:05:40,ARB-USDT,db_get_columns,0.008475
