PERFORMANCE SUMMARY REPORT
=========================

Pairs Processed: 304
Total Processing Time: 76.28 seconds
Average Time Per Pair: 0.25 seconds

OPERATION BREAKDOWN (Sorted by Total Time)
----------------------------------------
Operation                      Total Time (s)  Avg Time (s)    Calls      % of Total
--------------------------------------------------------------------------------
compute_features_total         42.01           0.724312        58         55.07     
volatility_features            7.88            0.066785        118        10.33     
cross_pair_features            7.18            7.181700        1          9.41      
statistical_features           7.04            0.065195        108        9.23      
volume_features                4.29            0.037601        114        5.62      
database_update                2.43            0.067489        36         3.18      
db_get_columns                 1.76            0.014193        124        2.31      
fetch_data                     1.14            0.009671        118        1.50      
time_features                  0.94            0.011882        79         1.23      
pattern_features               0.80            0.009225        87         1.05      
price_action_features          0.37            0.003051        122        0.49      
label_features                 0.28            0.003900        71         0.36      
momentum_features              0.23            0.001862        121        0.30      
