PERFORMANCE SUMMARY REPORT
=========================

Pairs Processed: 305
Total Processing Time: 967.44 seconds
Average Time Per Pair: 3.17 seconds

OPERATION BREAKDOWN (Sorted by Total Time)
----------------------------------------
Operation                      Total Time (s)  Avg Time (s)    Calls      % of Total
--------------------------------------------------------------------------------
compute_features_total         289.76          0.962660        301        29.95     
database_update                61.63           0.204737        301        6.37      
statistical_features           31.52           0.104717        301        3.26      
volatility_features            29.72           0.098731        301        3.07      
volume_features                14.26           0.047380        301        1.47      
price_action_features          13.82           0.045929        301        1.43      
db_get_columns                 7.29            0.024056        303        0.75      
cross_pair_features            6.96            6.963667        1          0.72      
fetch_data                     6.68            0.022050        303        0.69      
time_features                  5.46            0.018140        301        0.56      
momentum_features              4.43            0.014719        301        0.46      
pattern_features               4.00            0.013302        301        0.41      
label_features                 2.14            0.007122        301        0.22      
