Timestamp,Pair,Operation,Duration(s)
2025-04-04 08:54:53,BNT-USDT,db_get_columns,0.012558
2025-04-04 08:54:53,BNT-USDT,TOTAL,0.073488
2025-04-04 08:54:53,ELF-USDT,TOTAL,0.161006
2025-04-04 08:54:53,global,db_get_columns,0.008230
2025-04-04 08:54:53,global,TOTAL,0.170051
2025-04-04 08:54:53,global,TOTAL,0.211552
2025-04-04 10:15:10,CROSS_PAIR,cross_pair_features,3600.000000
2025-04-04 10:15:10,CROSS_PAIR,TOTAL,3600.000000
2025-04-04 10:15:10,ZRX-USDT,db_get_columns,0.004339
2025-04-04 10:15:10,ZRX-USDT,TOTAL,0.006691
2025-04-04 10:15:10,NULS-USDT,TOTAL,0.112314
2025-04-04 10:15:10,global,db_get_columns,0.013326
2025-04-04 10:15:10,global,TOTAL,0.126887
2025-04-04 10:15:10,global,TOTAL,0.186417
2025-04-04 10:21:49,CROSS_PAIR,cross_pair_features,398.118026
2025-04-04 10:21:49,CROSS_PAIR,TOTAL,398.118155
