Timestamp,Pair,Operation,Duration(s)
2025-04-03 19:54:10,BNT-USDT,db_get_columns,0.010475
2025-04-03 19:54:10,BNT-USDT,TOTAL,0.074555
2025-04-03 19:54:10,ELF-USDT,TOTAL,0.167736
2025-04-03 19:54:10,global,db_get_columns,0.008630
2025-04-03 19:54:10,global,TOTAL,0.176591
2025-04-03 19:54:10,global,TOTAL,0.235374
2025-04-03 21:19:17,CROSS_PAIR,cross_pair_features,3600.000000
2025-04-03 21:19:17,CROSS_PAIR,TOTAL,3600.000000
2025-04-03 21:19:17,ZRX-USDT,db_get_columns,0.005080
2025-04-03 21:19:17,ZRX-USDT,TOTAL,0.028065
2025-04-03 21:19:17,NULS-USDT,TOTAL,0.152942
2025-04-03 21:19:17,global,db_get_columns,0.018120
2025-04-03 21:19:17,global,TOTAL,0.184816
2025-04-03 21:19:17,global,TOTAL,0.257235
2025-04-03 22:54:03,CROSS_PAIR,cross_pair_features,3600.000000
2025-04-03 22:54:03,CROSS_PAIR,TOTAL,3600.000000
2025-04-03 22:54:03,ETC-USDT,db_get_columns,0.004895
2025-04-03 22:54:03,ETC-USDT,TOTAL,0.032374
2025-04-03 22:54:03,ETH-USDT,TOTAL,0.182364
2025-04-03 22:54:03,global,db_get_columns,0.016920
2025-04-03 22:54:03,global,TOTAL,0.227837
2025-04-03 22:54:03,global,TOTAL,0.309493
