PERFORMANCE SUMMARY REPORT
=========================

Pairs Processed: 305
Total Processing Time: 951.28 seconds
Average Time Per Pair: 3.12 seconds

OPERATION BREAKDOWN (Sorted by Total Time)
----------------------------------------
Operation                      Total Time (s)  Avg Time (s)    Calls      % of Total
--------------------------------------------------------------------------------
compute_features_total         286.59          0.945840        303        30.13     
database_update                63.32           0.208967        303        6.66      
statistical_features           32.47           0.107148        303        3.41      
volatility_features            27.11           0.089488        303        2.85      
price_action_features          16.65           0.054939        303        1.75      
volume_features                13.73           0.045326        303        1.44      
fetch_data                     8.21            0.027097        303        0.86      
cross_pair_features            7.47            7.467957        1          0.79      
db_get_columns                 7.06            0.023295        303        0.74      
time_features                  5.59            0.018449        303        0.59      
pattern_features               4.09            0.013485        303        0.43      
momentum_features              4.06            0.013401        303        0.43      
label_features                 2.20            0.007276        303        0.23      
