[ERROR] 2025-03-27 23:25:10,398 | Error processing validation result for BAND-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,398 | Error processing validation result for BAT-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,398 | Error processing validation result for BCH-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,398 | Error processing validation result for BERA-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,399 | Error processing validation result for BETH-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,399 | Error processing validation result for BICO-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,399 | Error processing validation result for BIGTIME-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,399 | Error processing validation result for BIO-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,399 | Error processing validation result for BLUR-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,399 | Error processing validation result for BNB-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,399 | Error processing validation result for BNT-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,400 | Error processing validation result for BOME-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,400 | Error processing validation result for BONE-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,400 | Error processing validation result for BONK-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,400 | Error processing validation result for BORA-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,400 | Error processing validation result for BSV-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,400 | Error processing validation result for BTC-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,401 | Error processing validation result for BTT-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,401 | Error processing validation result for CAT-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,401 | Error processing validation result for CATI-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,401 | Error processing validation result for CELO-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,401 | Error processing validation result for CELR-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,401 | Error processing validation result for CETUS-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,401 | Error processing validation result for CFG-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,402 | Error processing validation result for CFX-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,402 | Error processing validation result for CHZ-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,402 | Error processing validation result for CITY-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,402 | Error processing validation result for CLV-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,402 | Error processing validation result for COMP-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,402 | Error processing validation result for CORE-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,402 | Error processing validation result for CRO-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,403 | Error processing validation result for CRV-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,403 | Error processing validation result for CSPR-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,403 | Error processing validation result for CTC-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,403 | Error processing validation result for CTXC-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,403 | Error processing validation result for CVC-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,403 | Error processing validation result for CVX-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,403 | Error processing validation result for CXT-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,403 | Error processing validation result for DAI-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,404 | Error processing validation result for DAO-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,404 | Error processing validation result for DEGEN-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,404 | Error processing validation result for DEP-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,404 | Error processing validation result for DGB-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,404 | Error processing validation result for DIA-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,404 | Error processing validation result for DOGE-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,404 | Error processing validation result for DOGS-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,405 | Error processing validation result for DORA-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,405 | Error processing validation result for DOT-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,405 | Error processing validation result for DUCK-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,405 | Error processing validation result for DYDX-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,405 | Error processing validation result for EGLD-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,405 | Error processing validation result for EIGEN-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,405 | Error processing validation result for ELF-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,405 | Error processing validation result for ELON-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,406 | Error processing validation result for ENJ-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,406 | Error processing validation result for ENS-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,406 | Error processing validation result for EOS-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,406 | Error processing validation result for ERN-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,406 | Error processing validation result for ETC-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,406 | Error processing validation result for ETH-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,406 | Error processing validation result for ETHFI-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,407 | Error processing validation result for ETHW-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,407 | Error processing validation result for FET-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,407 | Error processing validation result for FIL-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,407 | Error processing validation result for FLM-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,407 | Error processing validation result for FLOKI-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,407 | Error processing validation result for FLOW-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,407 | Error processing validation result for FLR-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,407 | Error processing validation result for FORTH-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,408 | Error processing validation result for FOXY-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,408 | Error processing validation result for FXS-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,408 | Error processing validation result for G-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,408 | Error processing validation result for GALA-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,408 | Error processing validation result for GALFT-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,408 | Error processing validation result for GAS-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,408 | Error processing validation result for GEAR-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,409 | Error processing validation result for GHST-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,409 | Error processing validation result for GLM-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,409 | Error processing validation result for GLMR-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,409 | Error processing validation result for GMT-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,409 | Error processing validation result for GMX-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,409 | Error processing validation result for GOAT-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,409 | Error processing validation result for GODS-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,410 | Error processing validation result for GOG-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,410 | Error processing validation result for GRT-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,410 | Error processing validation result for HBAR-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,410 | Error processing validation result for HMSTR-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,410 | Error processing validation result for ICE-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,410 | Error processing validation result for ICP-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,410 | Error processing validation result for ICX-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,411 | Error processing validation result for ID-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,411 | Error processing validation result for ILV-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,411 | Error processing validation result for IMX-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,411 | Error processing validation result for INJ-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,411 | Error processing validation result for IOST-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,411 | Error processing validation result for IOTA-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,411 | Error processing validation result for IP-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,411 | Error processing validation result for IQ-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,412 | Error processing validation result for J-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,412 | Error processing validation result for JOE-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,412 | Error processing validation result for JST-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,412 | Error processing validation result for JTO-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,412 | Error processing validation result for JUP-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,412 | Error processing validation result for KAIA-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,412 | Error processing validation result for KAITO-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,413 | Error processing validation result for KDA-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,413 | Error processing validation result for KISHU-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,413 | Error processing validation result for KNC-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,413 | Error processing validation result for KSM-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,413 | Error processing validation result for LAT-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,413 | Error processing validation result for LDO-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,413 | Error processing validation result for LEO-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,414 | Error processing validation result for LINK-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,414 | Error processing validation result for LOOKS-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,414 | Error processing validation result for LPT-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,414 | Error processing validation result for LQTY-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,414 | Error processing validation result for LRC-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,414 | Error processing validation result for LSK-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,414 | Error processing validation result for LTC-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,415 | Error processing validation result for LUNA-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,415 | Error processing validation result for LUNC-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,415 | Error processing validation result for MAGIC-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,415 | Error processing validation result for MAJOR-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,415 | Error processing validation result for MANA-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,415 | Error processing validation result for MASK-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,415 | Error processing validation result for MAX-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,416 | Error processing validation result for MDT-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,416 | Error processing validation result for ME-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,416 | Error processing validation result for MEME-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,416 | Error processing validation result for MEMEFI-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,416 | Error processing validation result for MENGO-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,416 | Error processing validation result for MERL-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,416 | Error processing validation result for METIS-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,416 | Error processing validation result for MEW-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,417 | Error processing validation result for MILO-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,417 | Error processing validation result for MINA-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,417 | Error processing validation result for MKR-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,417 | Error processing validation result for MLN-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,417 | Error processing validation result for MOODENG-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,417 | Error processing validation result for MORPHO-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,417 | Error processing validation result for MOVE-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,418 | Error processing validation result for MOVR-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,418 | Error processing validation result for MXC-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,418 | Error processing validation result for NC-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,418 | Error processing validation result for NEAR-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,418 | Error processing validation result for NEIRO-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,418 | Error processing validation result for NEO-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,418 | Error processing validation result for NFT-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,419 | Error processing validation result for NMR-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,419 | Error processing validation result for NOT-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,419 | Error processing validation result for NULS-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,419 | Error processing validation result for OAS-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,419 | Error processing validation result for OKB-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,419 | Error processing validation result for OKSOL-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,419 | Error processing validation result for OKT-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,420 | Error processing validation result for OL-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,420 | Error processing validation result for OM-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,420 | Error processing validation result for OMI-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,420 | Error processing validation result for ONDO-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,420 | Error processing validation result for ONE-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,420 | Error processing validation result for ONT-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,420 | Error processing validation result for OP-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,420 | Error processing validation result for ORBS-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,421 | Error processing validation result for ORDI-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,421 | Error processing validation result for OXT-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,421 | Error processing validation result for PENDLE-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,421 | Error processing validation result for PENGU-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,421 | Error processing validation result for PEOPLE-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,421 | Error processing validation result for PEPE-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,421 | Error processing validation result for PERP-USDT: 'rows'
[ERROR] 2025-03-27 23:25:10,422 | Error processing validation result for PHA-USDT: 'rows'
