PERFORMANCE SUMMARY REPORT
=========================

Pairs Processed: 304
Total Processing Time: 137.38 seconds
Average Time Per Pair: 0.45 seconds

OPERATION BREAKDOWN (Sorted by Total Time)
----------------------------------------
Operation                      Total Time (s)  Avg Time (s)    Calls      % of Total
--------------------------------------------------------------------------------
compute_features_total         215.90          2.540033        85         157.16    
price_action_features          54.70           0.289439        189        39.82     
volatility_features            21.05           0.114415        184        15.32     
database_update                20.74           0.186813        111        15.09     
statistical_features           13.23           0.078271        169        9.63      
momentum_features              12.77           0.074673        171        9.29      
volume_features                9.64            0.052091        185        7.01      
db_get_columns                 6.06            0.021334        284        4.41      
time_features                  4.21            0.035094        120        3.07      
fetch_data                     3.09            0.013514        229        2.25      
pattern_features               1.47            0.009837        149        1.07      
label_features                 0.64            0.005902        108        0.46      
