Timestamp,Pair,Operation,Duration(s)
2025-03-27 15:51:21,AERGO-USDT,db_get_columns,0.003565
2025-03-27 15:51:21,AERGO-USDT,db_get_columns,0.004242
2025-03-27 15:51:21,AERGO-USDT,db_get_columns,0.004067
2025-03-27 15:51:21,AERGO-USDT,fetch_data,0.006625
2025-03-27 15:51:21,AERGO-USDT,fetch_data,0.007302
2025-03-27 15:51:21,AERGO-USDT,fetch_data,0.008182
2025-03-27 15:51:21,AERGO-USDT,TOTAL,0.017100
2025-03-27 15:51:21,ACE-USDT,db_get_columns,0.011949
2025-03-27 15:51:21,ACE-USDT,fetch_data,0.005960
2025-03-27 15:51:21,ACE-USDT,TOTAL,0.079637
2025-03-27 15:51:21,ACH-USDT,db_get_columns,0.008785
2025-03-27 15:51:21,ACH-USDT,fetch_data,0.006315
2025-03-27 15:51:21,ACH-USDT,TOTAL,0.137594
2025-03-27 15:51:21,ACT-USDT,db_get_columns,0.010195
2025-03-27 15:51:21,ACT-USDT,fetch_data,0.006385
2025-03-27 15:51:21,ACT-USDT,TOTAL,0.198159
2025-03-27 15:51:21,ADA-USDT,db_get_columns,0.008579
2025-03-27 15:51:21,ADA-USDT,fetch_data,0.006815
2025-03-27 15:51:21,ADA-USDT,TOTAL,0.254447
2025-03-27 15:51:21,AERGO-USDT,TOTAL,0.401369
2025-03-27 15:51:21,AEVO-USDT,TOTAL,0.488433
2025-03-27 15:51:21,AGLD-USDT,TOTAL,0.541027
2025-03-27 15:51:21,global,db_get_columns,0.053355
2025-03-27 15:51:21,AIDOGE-USDT,TOTAL,0.602345
2025-03-27 15:51:21,AEVO-USDT,TOTAL,0.647857
2025-03-27 15:51:21,AIDOGE-USDT,fetch_data,0.006017
2025-03-27 15:51:21,AIDOGE-USDT,db_get_columns,0.003726
2025-03-27 15:51:21,AIDOGE-USDT,db_get_columns,0.004464
2025-03-27 15:51:21,AIDOGE-USDT,db_get_columns,0.003752
2025-03-27 15:51:21,AIDOGE-USDT,TOTAL,0.654906
2025-03-27 15:51:21,global,fetch_data,0.005693
2025-03-27 15:51:21,global,fetch_data,0.008148
2025-03-27 15:51:21,global,fetch_data,0.010585
2025-03-27 15:51:21,global,TOTAL,0.064822
2025-03-27 15:51:21,global,TOTAL,0.018731
2025-03-27 15:51:21,global,TOTAL,0.018616
2025-03-27 15:51:22,AIXBT-USDT,TOTAL,0.813482
2025-03-27 15:51:22,global,TOTAL,0.258215
2025-03-27 15:51:22,global,TOTAL,0.212126
2025-03-27 15:51:22,global,TOTAL,0.262205
2025-03-27 15:51:22,global,db_get_columns,0.008728
2025-03-27 15:51:22,global,fetch_data,0.007189
2025-03-27 15:51:22,global,TOTAL,0.278224
2025-03-27 15:51:22,global,TOTAL,0.352825
2025-03-27 15:51:22,AR-USDT,db_get_columns,0.003731
2025-03-27 15:51:22,AR-USDT,db_get_columns,0.004007
2025-03-27 15:51:22,AR-USDT,db_get_columns,0.004326
2025-03-27 15:51:22,AR-USDT,fetch_data,0.005019
2025-03-27 15:51:22,AR-USDT,fetch_data,0.007087
2025-03-27 15:51:22,AR-USDT,fetch_data,0.008999
